"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1980",2.952,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1981",3.013,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1982",2.972,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1983",2.752,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1984",2.622,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1985",2.558,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1986",2.535,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1987",2.414,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1988",2.301,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1989",2.184,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1990",2.223,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1991",2.212,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1992",2.222,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1993",2.317,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1994",2.195,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1995",2.243,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1996",2.265,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1997",2.374,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1998",2.727,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1999",2.679,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2000",2.468,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2001",2.569,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2002",2.606,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2003",2.661,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2004",2.611,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2005",2.586,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2006",2.586,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2007",2.642,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2008",2.675,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2009",2.846,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2010",2.831,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2011",2.864,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2012",2.806,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2013",2.844,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2014",2.86,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2015",2.777,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2016",2.766,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2017",2.744,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2018",2.725,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2019",2.771,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1980",0.458,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1981",0.392,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1982",0.38,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1983",0.331,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1984",0.296,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1985",0.255,
