"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1980",1.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1981",1.94,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1982",1.93,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1983",1.92,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1984",1.84,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1985",1.92,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1986",1.87,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1987",1.85,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1988",1.83,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1989",1.84,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1990",1.9,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1991",1.85,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1992",1.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1993",1.86,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1994",1.84,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1995",1.82,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1996",1.8,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1997",1.78,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1998",1.76,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1999",1.76,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2000",1.76,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2001",1.73,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2002",1.77,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2003",1.77,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2004",1.78,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2005",1.85,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2006",1.88,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2007",1.99,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2008",2.02,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2009",1.97,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2010",1.95,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2011",1.92,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2012",1.93,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2013",1.88,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2014",1.79,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2015",1.79,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2016",1.79,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2017",1.74,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2018",1.74,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2019",1.66,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2020",1.58,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1980",1.65,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1981",1.67,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1982",1.66,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1983",1.56,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1984",1.52,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1985",1.47,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1986",1.45,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1987",1.43,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1988",1.45,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1989",1.45,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1990",1.46,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1991",1.51,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1992",1.51,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1993",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1994",1.47,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1995",1.42,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1996",1.45,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1997",1.39,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1998",1.37,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1999",1.34,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2000",1.36,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2001",1.33,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2002",1.39,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2003",1.38,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2004",1.42,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2005",1.41,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2006",1.41,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2007",1.39,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2008",1.42,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2009",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2010",1.44,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2011",1.43,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2012",1.44,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2013",1.44,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2014",1.46,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2015",1.49,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2016",1.53,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2017",1.52,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2018",1.48,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2019",1.46,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2020",1.44,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1980",1.68,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1981",1.66,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1982",1.61,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1983",1.57,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1984",1.54,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1985",1.51,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1986",1.54,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1987",1.54,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1988",1.57,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1989",1.58,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1990",1.62,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1991",1.66,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1992",1.65,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1993",1.61,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1994",1.56,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1995",1.56,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1996",1.59,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1997",1.6,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1998",1.6,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1999",1.62,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2000",1.67,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2001",1.67,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2002",1.65,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2003",1.67,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2004",1.72,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2005",1.76,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2006",1.8,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2007",1.82,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2008",1.85,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2009",1.84,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2010",1.86,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2011",1.81,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2012",1.8,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2013",1.76,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2014",1.74,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2015",1.7,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2016",1.68,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2017",1.65,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2018",1.62,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2019",1.6,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","2020",1.55,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1980",1.68,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1981",1.65,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1982",1.64,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1983",1.63,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1984",1.63,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1985",1.61,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1986",1.59,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1987",1.58,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1988",1.6,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1989",1.66,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1990",1.71,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1991",1.7,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1992",1.69,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1993",1.66,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1994",1.62,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1995",1.62,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1996",1.62,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1997",1.58,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1998",1.54,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","1999",1.51,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2000",1.49,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2001",1.51,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2002",1.5,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2003",1.53,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2004",1.53,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2005",1.54,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2006",1.59,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2007",1.66,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2008",1.68,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2009",1.67,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2010",1.63,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2011",1.61,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2012",1.61,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2013",1.59,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2014",1.58,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2015",1.56,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2016",1.54,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2017",1.5,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2018",1.5,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2019",1.47,
"CAN","FERTILITY","TOT","CHD_WOMAN","A","2020",1.5,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1980",2.1,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1981",2.02,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1982",2.01,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1983",1.96,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1984",1.97,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1985",1.96,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1986",1.94,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1987",1.91,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1988",1.94,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1989",1.87,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1990",1.89,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1991",1.86,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1992",1.72,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1993",1.67,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1994",1.44,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1995",1.28,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1996",1.19,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1997",1.17,
"CZE","FERTILITY","TOT","CHD_WOMAN","A","1998",1.16,
