"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCBENHH","INCASH","PC_GDP","A","1970",3.47022688992371,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1971",3.66346412858041,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1972",4.14483852190843,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1973",4.16984195354693,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1974",5.02694509936005,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1975",5.76011709798558,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1976",6.58600473992765,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1977",7.0342096746559,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1978",6.74941684701603,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1979",6.4444956207145,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1980",6.35415504374594,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1981",6.34268947320535,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1982",7.22137162768597,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1983",7.42685460773853,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1984",7.25077709646188,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1985",7.02287032990623,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1986",6.86632629542455,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1987",6.66142896755708,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1988",6.16080156402737,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1989",6.15629046127084,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1990",7.01304954976646,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1991",7.95626628615438,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1992",8.22335025380711,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1993",8.45975641902101,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1994",8.03711890797318,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1995",8.0729324218041,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1996",8.0687640578627,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1997",7.7117205797495,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1998",7.6348432863203,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1999",7.74646611090975,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2000",8.24704058305606,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2001",8.04686032638744,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2002",7.80185226250601,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2003",8.20939765174498,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2004",7.89155024293835,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2005",7.61804938212281,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2006",7.38143719837836,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2007",7.20559588111127,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2008",8.75647467098404,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2009",7.52566876045328,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2010",7.36828672810196,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2011",7.43372777594096,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2012",7.51364466468554,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2013",7.65177214770202,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2014",7.7490058861397,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2015",7.68833052394575,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2016",7.12906549133855,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2017",6.79016734187726,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2018",6.50565880326495,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2019",7.37454602770134,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2020",7.7951124268717,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2021",6.80223173935959,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1995",19.8756573499331,
