"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","1980",10.244,
"AUS","SOCEXP","PUB","PC_GDP","A","1981",10.116,
"AUS","SOCEXP","PUB","PC_GDP","A","1982",11.09,
"AUS","SOCEXP","PUB","PC_GDP","A","1983",11.591,
"AUS","SOCEXP","PUB","PC_GDP","A","1984",11.97,
"AUS","SOCEXP","PUB","PC_GDP","A","1985",12.062,
"AUS","SOCEXP","PUB","PC_GDP","A","1986",11.897,
"AUS","SOCEXP","PUB","PC_GDP","A","1987",12.151,
"AUS","SOCEXP","PUB","PC_GDP","A","1988",11.446,
"AUS","SOCEXP","PUB","PC_GDP","A","1989",11.584,
"AUS","SOCEXP","PUB","PC_GDP","A","1990",13.118,
"AUS","SOCEXP","PUB","PC_GDP","A","1991",14.28,
"AUS","SOCEXP","PUB","PC_GDP","A","1992",15.257,
"AUS","SOCEXP","PUB","PC_GDP","A","1993",15.516,
"AUS","SOCEXP","PUB","PC_GDP","A","1994",15.242,
"AUS","SOCEXP","PUB","PC_GDP","A","1995",16.88,
"AUS","SOCEXP","PUB","PC_GDP","A","1996",16.998,
"AUS","SOCEXP","PUB","PC_GDP","A","1997",16.765,
"AUS","SOCEXP","PUB","PC_GDP","A","1998",17.588,
"AUS","SOCEXP","PUB","PC_GDP","A","1999",17.225,
"AUS","SOCEXP","PUB","PC_GDP","A","2000",18.21,
"AUS","SOCEXP","PUB","PC_GDP","A","2001",17.509,
"AUS","SOCEXP","PUB","PC_GDP","A","2002",17.314,
"AUS","SOCEXP","PUB","PC_GDP","A","2003",17.498,
"AUS","SOCEXP","PUB","PC_GDP","A","2004",17.197,
"AUS","SOCEXP","PUB","PC_GDP","A","2005",16.66,
"AUS","SOCEXP","PUB","PC_GDP","A","2006",15.699,
"AUS","SOCEXP","PUB","PC_GDP","A","2007",15.858,
"AUS","SOCEXP","PUB","PC_GDP","A","2008",17.05,
"AUS","SOCEXP","PUB","PC_GDP","A","2009",16.853,
"AUS","SOCEXP","PUB","PC_GDP","A","2010",16.553,
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.02,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",17.308,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",17.263,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",17.804,
"AUS","SOCEXP","PUB","PC_GDP","A","2015",18.207,
"AUS","SOCEXP","PUB","PC_GDP","A","2016",17.476,
"AUS","SOCEXP","PUB","PC_GDP","A","2017",17.077,
"AUS","SOCEXP","PUB","PC_GDP","A","2018",16.638,
"AUS","SOCEXP","PUB","PC_GDP","A","2019",20.451,
"AUT","SOCEXP","PUB","PC_GDP","A","1980",21.906,
"AUT","SOCEXP","PUB","PC_GDP","A","1985",23.205,
"AUT","SOCEXP","PUB","PC_GDP","A","1990",23.263,
"AUT","SOCEXP","PUB","PC_GDP","A","1991",23.584,
"AUT","SOCEXP","PUB","PC_GDP","A","1992",24.276,
"AUT","SOCEXP","PUB","PC_GDP","A","1993",25.675,
"AUT","SOCEXP","PUB","PC_GDP","A","1994",26.614,
"AUT","SOCEXP","PUB","PC_GDP","A","1995",26.556,
"AUT","SOCEXP","PUB","PC_GDP","A","1996",26.678,
"AUT","SOCEXP","PUB","PC_GDP","A","1997",26.18,
"AUT","SOCEXP","PUB","PC_GDP","A","1998",25.98,
"AUT","SOCEXP","PUB","PC_GDP","A","1999",26.329,
"AUT","SOCEXP","PUB","PC_GDP","A","2000",26.043,
"AUT","SOCEXP","PUB","PC_GDP","A","2001",26.092,
"AUT","SOCEXP","PUB","PC_GDP","A","2002",26.396,
"AUT","SOCEXP","PUB","PC_GDP","A","2003",26.933,
"AUT","SOCEXP","PUB","PC_GDP","A","2004",26.719,
"AUT","SOCEXP","PUB","PC_GDP","A","2005",26.337,
"AUT","SOCEXP","PUB","PC_GDP","A","2006",26.063,
"AUT","SOCEXP","PUB","PC_GDP","A","2007",25.477,
"AUT","SOCEXP","PUB","PC_GDP","A","2008",25.947,
"AUT","SOCEXP","PUB","PC_GDP","A","2009",27.957,
"AUT","SOCEXP","PUB","PC_GDP","A","2010",28.052,
"AUT","SOCEXP","PUB","PC_GDP","A","2011",27.231,
"AUT","SOCEXP","PUB","PC_GDP","A","2012",27.611,
"AUT","SOCEXP","PUB","PC_GDP","A","2013",28.031,
"AUT","SOCEXP","PUB","PC_GDP","A","2014",28.255,
"AUT","SOCEXP","PUB","PC_GDP","A","2015",28.261,
"AUT","SOCEXP","PUB","PC_GDP","A","2016",28.197,
"AUT","SOCEXP","PUB","PC_GDP","A","2017",27.826,
"AUT","SOCEXP","PUB","PC_GDP","A","2018",27.561,
"AUT","SOCEXP","PUB","PC_GDP","A","2019",27.708,
"AUT","SOCEXP","PUB","PC_GDP","A","2020",31.108,
"AUT","SOCEXP","PUB","PC_GDP","A","2021",31.061,
"AUT","SOCEXP","PUB","PC_GDP","A","2022",29.356,
"BEL","SOCEXP","PUB","PC_GDP","A","1980",23.202,
"BEL","SOCEXP","PUB","PC_GDP","A","1981",24.752,
"BEL","SOCEXP","PUB","PC_GDP","A","1982",25.35,
"BEL","SOCEXP","PUB","PC_GDP","A","1983",25.634,
"BEL","SOCEXP","PUB","PC_GDP","A","1984",24.852,
"BEL","SOCEXP","PUB","PC_GDP","A","1985",25.689,
"BEL","SOCEXP","PUB","PC_GDP","A","1986",25.518,
"BEL","SOCEXP","PUB","PC_GDP","A","1987",25.289,
"BEL","SOCEXP","PUB","PC_GDP","A","1988",25.107,
