"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1980",0.653,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1981",0.696,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1982",1.187,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1983",1.362,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1984",1.267,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1985",1.197,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1986",1.207,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1987",1.04,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1988",0.829,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1989",0.758,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1990",1.098,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1991",1.592,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1992",1.717,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1993",1.729,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1994",1.494,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1995",1.188,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1996",1.193,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1997",1.181,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1998",1.117,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1999",0.987,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2000",0.925,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2001",0.884,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2002",0.771,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2003",0.698,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2004",0.619,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.546,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.484,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.408,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.444,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.541,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.502,
